Interval start,Downlink,Uplink
0,147016,93984
1,37976,20552
2,0,0
3,0,0
4,0,0
5,39184,211424
6,51536,72864
7,8568,29672
8,7616,26688
9,9520,33040
10,9520,34576
11,10472,37816
12,10472,35896
13,8304,107704
14,249272,149816
15,90160,70440
16,0,0
17,0,0
18,49576,112712
19,8568,30184
20,7616,27328
21,7616,37440
22,8568,29928
23,52000,81664
24,8248,27904
